schemeName,2018,2019,2020,2021,2022,2023,2024
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- REGULAR PLAN-IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla SUn Life Fixed Term Plan - Series OF (1151 days) - Direct Plan-Growth,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla SUn Life Global Emerging Opportunities Fund - Regular Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Regular Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Arbitrage Fund-DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Arbitrage Fund-Regular - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Asset Allocator FoF- Direct Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Asset Allocator FoF- Regular Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Asset Allocator FoF-REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life BSE Sensex ETF,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Balanced Advantage Fund -REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Regular Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Monthly Dividend - Direct Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Monthly Dividend - Regular Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund - Weekly Dividend - Direct Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Business Cycle Fund-Direct Growth,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Business Cycle Fund-Direct IDCW Payout,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Business Cycle Fund-Regular IDCW Payout,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Business Cycle Fund-Regular-Growth,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Direct Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Direct IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Regular IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life CRISIL Liquid Overnight ETF - IDCW Daily Reinvestment with Weekly Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Direct Plan - Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Regular Plan - Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Direct Plan - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Regular Plan - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Direct Plan-Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Regular Plan-Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Direct Plan-Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Regular Plan-Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
